UserId,Age,Address
2105345,D,F
2085920,F,F
1976717,C,C
768535,A,E
1895117,D,F
1587807,J,E
1853100,C,G
2158358,B,F
1950892,D,C
204040,J,E
1643824,D,F
1813715,B,F
2099460,E,B
303767,B,E
478502,G,H
348508,E,F
1376944,F,E
1817515,J,E
1994650,D,E
1892383,C,F
1349078,D,C
1990003,C,G
2162003,C,C
1538205,D,D
27359,B,F
1805642,E,C
5241,D,F
2151847,D,E
1976458,D,C
1352573,C,G
1942125,C,D
2115344,B,A
99004,F,G
1972122,D,C
1539769,C,F
2042237,D,C
1189490,I,D
1880670,B,H
2165660,C,E
2034621,B,F
1432558,E,F
2153469,G,E
1701623,D,F
2106847,E,E
1883381,C,G
1829297,C,H
2127682,E,D
1802863,D,G
1335767,F,G
2172408,E,F
211338,G,F
1896336,C,F
1993813,B,E
1720051,C,E
1676655,D,E
110990,C,F
1569094,F,E
590235,E,C
2007199,A,F
924252,F,E
1589474,B,F
2031217,D,F
1671551,D,D
2104843,E,C
1689952,C,G
2024431,E,C
911702,G,E
1816631,C,F
1371482,C,E
1561029,E,G
1986204,C,D
1398748,F,E
2110745,A,D
1814811,E,E
1208726,E,F
1073386,A,E
1432503,E,E
1835465,D,A
2122878,D,G
207744,D,E
1660210,C,E
1490138,F,G
2082653,J,E
1907674,G,F
998949,E,E
64170,G,F
1392234,D,F
1188943,D,E
1276503,F,E
66495,F,H
2090955,D,D
1777567,D,E
1624168,E,B
2161198,C,C
1508611,D,G
698306,C,E
195058,E,E
1596960,B,D
548106,F,G
519151,D,F
2122359,D,E
1501186,E,E
2012049,C,G
1693287,I,F
2011905,G,E
2070988,C,F
583176,G,E
1666199,E,C
1752403,B,D
556736,C,B
1961157,C,G
826235,F,C
1643800,D,E
1705195,B,E
1009972,C,G
934992,E,F
243728,G,F
1716542,C,E
1466966,H,F
2162386,C,G
1742589,D,E
1416718,D,G
1908299,C,G
1601190,B,E
1236545,B,C
1725278,F,E
694476,F,E
2165349,C,D
1437416,F,E
1919721,D,F
2131528,E,C
1453263,D,F
1639612,D,C
2170046,A,C
1130997,E,F
1709391,B,E
1842289,D,F
1648751,C,E
2129471,A,E
1556629,B,F
2112060,C,G
1183665,F,E
447270,I,E
2103303,C,G
2057835,D,H
2130118,E,C
311090,B,E
1095234,D,F
1779400,C,G
1715699,C,F
2173184,A,C
1992847,J,E
2058405,F,C
813303,E,C
950169,C,E
1270150,E,A
355599,G,E
1543308,C,G
2098715,C,G
173452,E,A
1473063,D,F
51040,C,F
1980189,F,E
2074634,A,C
1115185,G,C
2041605,C,B
738095,G,E
2011417,F,E
2005959,B,F
1802924,C,F
883795,E,E
1062717,F,E
1503258,K,H
1922332,G,E
491853,C,H
2163246,A,F
1750522,J,B
2059617,A,G
1488173,C,F
1669930,E,G
1542813,D,F
562638,F,F
593250,D,E
1747492,J,E
2039442,A,B
2146829,B,B
713580,G,F
1887884,C,E
1907704,C,E
1484687,B,D
108782,D,G
2082622,C,F
719278,E,E
1440263,E,C
1569476,D,F
2049496,D,F
1504484,C,F
1735925,C,E
2160757,F,C
1156089,C,E
1967319,C,B
1711813,E,D
1990416,J,E
1805284,D,G
1479805,D,F
1912517,F,H
1764123,J,C
881753,I,E
2088068,B,E
1598681,C,E
41898,F,D
1576535,D,E
88442,E,G
1587159,D,F
1254655,D,E
1796384,E,D
1927979,A,F
65245,H,E
2003405,C,E
1791648,F,E
966351,F,C
1490565,E,C
1706079,B,E
1834888,E,G
2036618,D,G
2107394,B,E
1374261,G,H
1674149,J,F
1915341,D,E
1795578,D,A
1765649,A,E
1766301,D,E
1741773,E,E
556378,F,A
1635232,E,E
1690200,C,D
2024707,D,C
1894103,C,G
183819,J,E
2175461,C,A
2079370,C,F
1936889,F,G
216562,F,C
2004167,A,E
135436,G,A
2075778,B,D
593915,D,B
1578065,D,E
1059403,K,H
1993660,F,F
1796100,D,E
1602555,B,G
1773149,C,C
1965766,I,E
221467,E,F
2130378,A,F
203173,C,G
43267,J,E
471305,E,C
1700343,D,D
573917,D,C
1660401,E,F
155182,F,E
1642322,C,G
926768,J,E
1438277,E,C
1989151,J,F
1741452,C,D
2162669,C,F
2165370,E,D
426824,F,E
2068084,G,F
1616460,D,E
2128504,A,F
1642537,F,D
937436,K,H
1682724,D,E
1893694,F,C
900287,D,G
1665628,D,E
1891515,C,E
1467772,G,F
2095523,C,F
944212,C,F
1965698,B,F
27601,J,D
1774795,B,C
1760507,C,C
547161,E,E
651363,E,E
2129648,G,E
89470,B,H
1371703,D,D
877749,D,G
2078397,B,F
2010731,D,C
2153261,C,G
1918250,B,F
2125145,A,G
1663433,K,C
792271,E,F
2164786,C,F
1775884,C,D
2170299,D,F
1782066,B,E
1906639,B,G
1984194,E,F
907637,D,E
267373,D,G
2148335,B,F
1152432,E,C
821438,C,F
1563559,C,C
1650310,F,E
1899245,A,A
1876222,J,E
660365,E,E
1499414,C,E
1285710,G,B
2039138,A,C
2161181,B,G
1942149,C,F
2063508,H,B
1679847,A,E
2136325,H,F
2141619,B,F
2176871,A,E
979672,K,H
1736649,D,F
2021591,B,C
1684896,F,G
2064598,D,E
963213,F,F
74704,F,E
1605679,F,F
534659,E,E
1508291,C,F
774901,C,E
1280654,C,F
917186,F,E
1803952,D,E
1956191,E,B
1848960,G,F
1141238,E,D
2146676,B,F
2117904,C,F
1694055,D,E
2144399,B,F
2075495,D,G
2157818,B,E
543361,E,D
1599015,B,F
1561784,C,F
2016085,A,E
2077963,C,F
1429510,F,E
1372359,I,H
1173611,E,C
1473735,I,F
900423,D,C
1079456,E,F
2066301,B,E
1511420,J,E
1858778,F,F
1811643,C,E
1773651,J,A
2155678,A,G
161886,D,E
1513448,G,A
921480,F,E
1445657,F,C
2069425,B,D
792080,I,E
2174570,E,E
532501,F,D
2040134,B,G
2121239,F,F
2043524,C,G
1026757,E,E
745666,J,E
59848,C,F
1904345,C,D
1594324,C,G
2015477,F,G
810678,J,E
2028927,B,B
2163758,A,D
1944617,E,F
2094922,D,C
1015294,K,H
1858747,D,E
1897104,F,C
2160788,A,E
601535,E,F
530583,I,E
2179469,C,E
735766,E,E
1459647,H,F
321341,B,H
2163819,E,F
1965384,B,C
1876444,C,E
792783,G,F
1825404,K,F
1443066,D,G
1872729,E,B
2156040,F,C
2172699,C,H
578295,K,E
1639117,F,E
1593723,E,E
280723,D,G
1937770,B,A
1910889,C,H
1116519,C,E
1775648,K,H
1799484,C,G
1550382,C,D
2015781,G,E
1434958,J,G
19484,E,G
895675,D,D
2031019,E,C
1843231,E,G
639903,E,C
1603330,C,C
2014364,K,B
2139753,B,F
1561524,D,C
1775761,C,C
1414776,E,G
2039268,C,D
2153353,D,E
2020310,J,F
1774733,J,C
1764789,C,E
1992793,H,F
1537437,D,G
315876,C,D
1506945,C,E
1586046,D,G
136174,F,E
1874044,H,F
1733228,D,E
1751529,B,G
207126,G,E
1487138,E,F
916790,J,D
126663,C,F
1817164,B,C
2005010,G,C
1681512,D,F
916264,E,E
2104287,C,E
1310085,F,E
935579,C,E
1522587,D,F
1373639,C,F
883689,F,H
1725964,D,E
2177595,B,F
1552218,E,G
1987010,D,C
2161105,F,G
66433,E,E
538428,E,F
198035,C,E
2010458,G,F
1500110,F,F
2142180,G,G
2152677,C,D
851626,B,C
550734,C,E
1843910,A,E
1863758,C,G
1949018,D,B
1620474,D,G
944793,E,F
1847062,K,H
197250,D,B
2142166,D,E
1819441,B,E
2033570,G,C
1296372,F,E
1331486,F,C
2028422,E,C
2168029,E,G
1906240,A,E
1912609,E,C
1362442,F,F
925143,D,E
197601,J,E
1275056,D,F
2018218,F,G
2165929,D,C
1122152,G,F
163590,E,E
782418,D,E
1903195,D,F
818179,G,C
1509533,G,D
2068169,C,C
706599,E,A
1073348,D,D
1165449,F,H
212809,H,E
320313,B,E
266215,C,E
2179315,J,E
1433142,E,E
404334,E,G
1524673,H,B
1888737,I,E
1245561,C,F
654173,B,E
423427,F,F
1113587,D,C
1038521,D,F
1524086,E,E
1779394,D,G
571036,F,E
1290974,G,C
1500745,B,F
2081571,E,D
1053203,F,F
237567,H,E
2041780,F,C
919784,E,E
2162539,C,G
2128726,F,G
1704792,F,B
1982596,D,D
1534023,D,F
556477,F,D
1449310,F,F
1762266,F,G
1795141,F,E
1456530,I,C
1688498,C,E
153454,G,E
2172019,C,E
2096421,B,G
1658682,F,E
1398359,J,C
1447392,C,F
1661996,A,C
1002706,K,E
2154268,B,F
938501,K,H
2162942,E,B
116947,F,E
425995,E,D
1779257,K,E
950190,J,E
2131726,C,F
2021317,C,E
1253054,E,F
1971866,D,H
385329,D,C
1485066,I,C
2073897,A,E
2130767,A,F
1717419,C,E
2017235,E,D
895088,C,F
1078589,F,C
450904,G,E
950817,A,E
1598056,D,G
1785289,C,E
489188,D,E
2071275,E,D
1794762,C,F
355766,E,C
1666816,B,G
1298871,E,E
2118314,B,D
167710,D,H
1891430,C,F
81214,F,F
1314069,D,F
46022,G,E
1603385,F,D
1871463,A,D
1689358,G,G
1535266,C,C
532532,D,D
1504583,C,E
1961836,F,F
1991505,G,F
1668797,F,F
2086644,B,F
659321,E,G
273466,C,D
161343,D,F
1173642,D,C
1612622,D,G
1849226,G,F
1113,K,F
1473858,E,F
607285,J,F
1756746,C,F
2177762,B,G
159760,D,F
1559637,C,A
912938,F,F
1693126,E,G
1626841,F,G
1872132,A,F
393553,B,G
1713343,F,E
1787979,D,F
433617,D,F
812832,C,E
2088044,C,E
1878790,C,A
256254,D,F
159234,D,F
1157406,E,C
1183917,D,F
1160987,C,G
2033822,D,D
2010229,B,E
2111384,C,G
2086521,K,H
175562,C,D
1917352,F,G
2100029,C,E
2033594,B,E
1074109,D,F
1873269,F,F
245876,C,C
1506143,H,D
1182613,F,D
2111483,J,H
679268,D,F
1891089,G,C
1373592,D,A
2007052,D,E
1850666,D,A
400176,C,E
1994926,F,F
2164571,F,H
1937299,B,E
53488,I,E
436908,F,A
1663990,C,G
740630,H,C
2141282,D,G
2172767,A,C
2160672,B,E
881159,F,F
997713,D,F
972048,F,E
2169750,D,F
2160917,I,C
166898,E,E
1420333,B,D
1748000,D,G
2112886,B,G
519274,D,G
2165509,D,C
1136579,G,E
1978889,E,C
706247,G,E
2014975,C,G
1194814,I,C
1040203,E,F
1689037,B,E
187923,C,E
1723984,A,E
1846775,K,H
1787030,C,G
582476,C,E
919852,D,F
1398847,F,F
1925548,G,F
1377316,H,A
1543612,F,G
2170114,E,C
1208665,B,C
1510904,C,E
1751499,F,E
1116304,D,F
1445350,D,F
1804683,C,E
1675238,D,G
638180,G,E
1791129,F,F
1596267,E,E
1181142,J,A
1817096,G,E
1741797,D,E
1038392,E,F
1646658,C,E
2091921,E,F
2057941,C,F
393997,D,E
1768206,C,E
1986570,I,C
2129501,A,E
1164268,D,D
1684681,D,F
1158816,G,E
516143,C,G
797702,D,E
1755060,F,G
165914,C,F
1328875,G,C
1645057,B,E
2116969,D,G
1712926,I,F
1983203,B,C
2143965,E,E
1290875,C,F
2112022,A,D
1942361,A,F
1199642,C,E
1166699,D,F
1564525,D,D
524209,C,F
1776546,H,G
2152479,B,E
984898,K,H
84550,D,F
1594898,B,F
1063486,F,E
2167886,B,G
1936001,H,E
2106069,G,E
1806793,A,E
1679281,E,E
650007,D,G
575690,B,F
1298857,G,E
1827248,J,H
1295214,D,E
1484465,B,F
1924817,F,E
1848786,E,E
25058,D,E
1692853,D,A
2158969,E,E
1406078,C,B
1586961,D,C
2175829,B,C
1651942,D,F
1211412,G,F
1072051,K,H
2111056,D,E
171748,D,E
2017105,A,E
531467,E,F
2123929,A,F
1694093,C,G
1462715,D,G
1126495,E,E
1315080,F,F
49368,E,H
1874914,D,D
1213522,E,E
1382686,E,C
463089,E,F
1485172,D,F
909433,C,E
1849158,J,C
1784145,D,A
1204377,B,C
1532661,F,E
1680386,B,D
1816686,E,C
2131078,C,F
1947427,C,F
1997873,E,C
2156279,G,A
2164885,C,E
28646,E,G
903783,J,E
2140391,D,F
709392,E,E
